fromNode	toNode	weight	direction	fromAltName	toAltName
245038_at	249264_s_at	0.879104239029823	undirected	AT2G26560	AT5G41740 /// AT5G41750
245038_at	249333_at	0.616582805819469	undirected	AT2G26560	AT5G40990
245038_at	249438_at	0.933097242556836	undirected	AT2G26560	AT5G40010
245038_at	249459_at	0.668896546656456	undirected	AT2G26560	AT5G39580
245038_at	249476_at	0.830503781435298	undirected	AT2G26560	AT5G38910
245038_at	249481_at	0.608850500980263	undirected	AT2G26560	AT5G38900
245038_at	249896_at	0.687101741724128	undirected	AT2G26560	AT5G22530
245038_at	249941_at	0.664616254877643	undirected	AT2G26560	AT5G22270
245038_at	250286_at	0.674586452105643	undirected	AT2G26560	AT5G13320
245038_at	250415_at	0.723481876686311	undirected	AT2G26560	AT5G11210
245038_at	250702_at	0.526391538938421	undirected	AT2G26560	AT5G06730
245038_at	250821_at	0.613159793647957	undirected	AT2G26560	AT5G05190
245038_at	250994_at	0.530702150540732	undirected	AT2G26560	AT5G02490
245038_at	251248_at	0.561875261598943	undirected	AT2G26560	AT3G62150
245038_at	251334_at	0.789531111804222	undirected	AT2G26560	AT3G61390
245038_at	251400_at	0.549764366196927	undirected	AT2G26560	AT3G60420
