fromNode	toNode	weight
AT2G23270	AT1G44130	0.630620128930958
AT2G23270	AT1G35210	0.755963782935472
AT2G23270	AT1G57980	0.728918693996544
AT2G23270	AT1G57990	0.728918693996544
AT2G23270	AT5G19890	0.590770972102956
AT2G23270	AT1G51915	0.78056212863483
AT2G23270	AT1G51920	0.50050427641535
AT2G23270	AT1G57630	0.811431784174043
AT2G23270	AT1G57650	0.679207657433401
AT2G23270	AT5G67340	0.731251474647201
AT2G23270	AT5G65600	0.75837902830047
AT2G23270	AT5G64905	0.736101035873779
AT2G23270	AT5G59820	0.614565009306012
AT2G23270	AT5G58120	0.90632290700582
AT2G23270	AT5G57510	0.762909763664172
AT2G23270	AT5G47850	0.51397057205841
AT2G23270	AT5G44990	0.522843683740189
AT2G23270	AT5G42830	0.923874374906794
AT2G23270	AT5G42380	0.681626021853483
AT2G23270	AT5G41750	0.748213493745081
AT2G23270	AT5G41740	0.748213493745081
AT2G23270	AT5G40990	0.8848079009511
AT2G23270	AT5G40010	0.677656125845831
AT2G23270	AT5G39580	0.528353102131661
AT2G23270	AT5G38910	0.780346461761842
AT2G23270	AT5G22530	0.600870769811832
AT2G23270	AT5G22270	0.705878859733942
AT2G23270	AT5G13320	0.629703094684868
AT2G23270	AT5G11210	0.533937473066645
AT2G23270	AT5G05190	0.759430156458434
AT2G23270	AT3G62150	0.613502951557169
AT2G23270	AT3G61390	0.705752858937293
AT2G23270	AT3G60420	0.739311533358505
AT2G23270	AT3G59080	0.550566866391339
AT2G23270	AT3G55790	0.775511582541408
AT2G23270	AT3G54520	0.537507742807127
AT2G23270	AT3G54150	0.711444031127589
AT2G23270	AT3G53160	0.637194283683004
AT2G23270	AT3G48850	0.533731212609089
AT2G23270	AT4G39640	0.580978757777571
AT2G23270	AT4G38420	0.617223819194659
AT2G23270	AT4G37290	0.896274439465847
AT2G23270	AT4G37370	0.917584019137299
AT2G23270	AT4G35180	0.647921787322409
AT2G23270	AT4G31970	0.819555875045186
AT2G23270	AT4G31710	0.522753062349579
AT2G23270	AT4G28460	0.89046025610948
AT2G23270	AT4G26200	0.789721059903153
AT2G23270	AT4G23190	0.573108562773859
AT2G23270	AT4G21380	0.846679694350098
AT2G23270	AT4G20000	0.659258945041374
AT2G23270	AT4G18990	0.598011176377221
AT2G23270	AT4G11170	0.681702754130197
AT2G23270	AT4G04490	0.628490502065243
