TF	Target	importance
AT1G18570	AT1G02530	0.011262000122794023
AT1G28470	AT1G59500	0.08726973981442426
AT4G04890	AT3G08770	0.17725609006554605
AT1G18570	AT1G02520	0.0026966327783602773
AT3G15500	AT5G67340	0.007839616374285199
AT3G01970	AT4G21620	0.0404967575204377
AT5G28770	AT1G28330	0.07474335597913619
AT1G74840	AT1G80920	0.371319166002285
AT1G34180	AT5G48410	0.006486935726080864
AT3G15500	AT3G04630	0.027785024543285502
AT3G50260	AT4G21620	0.04423799998650874
AT3G15500	AT1G01190	0.010494459708887518
AT2G30250	AT4G33050	0.13085023534729454
AT2G30250	AT3G19580	0.01005510118514037
AT2G30250	AT5G06740	0.03932914827799188
AT3G23250	AT2G38860	0.04447214954928719
AT3G15500	AT5G38910	0.007177496943546153
AT3G50260	AT2G28570	0.07605225021494225
AT1G28470	AT2G17050	0.002572188021738041
AT3G15500	AT1G44130	0.006608499293102556
AT3G15500	AT1G61820	0.003958204655033398
AT3G23250	AT1G67800	0.08235178212078907
AT2G43000	AT4G37370	0.005746746174289394
AT2G38470	AT1G18570	0.010310548748906459
AT4G18880	AT1G51500	0.16274446346952187
AT1G28470	AT1G33030	0.013143706094569614
AT3G15500	AT5G22270	0.009552306878854043
AT2G24430	AT1G01190	0.04149568306955738
AT2G43000	AT3G63380	0.00033841688808939604
AT2G43000	AT1G18570	0.007585723013970598
AT3G15500	AT4G30790	4.9370269660859474e-08
AT1G28470	AT5G26920	0.007619663511804253
AT2G38340	AT1G69790	0.009868224466926262
AT3G23250	AT3G48020	0.10107523139070888
AT2G33480	AT5G25610	0.01762585584229322
AT1G18570	AT5G42830	0.0037712393297522732
AT2G43000	AT2G01300	0.013300864918423413
AT1G28470	AT1G03660	0.013368384337464333
AT2G24430	AT2G39400	0.04766122686513307
AT2G43000	AT3G44720	0.03188793576946522
AT2G43000	AT4G21380	0.001973766579376776
AT3G15500	AT3G62150	0.0018929098404494148
AT3G15500	AT1G02310	0.022630815256287858
AT2G46830	AT1G01060	0.051089762839530845
AT2G43000	AT2G45550	0.006507717091146268
AT3G15500	AT1G69790	0.010643871775421013
AT2G30250	AT1G76070	0.09198504525464812
AT2G38340	AT5G57510	0.019843191421816158
AT3G01970	AT5G67340	0.0045927241080200125
AT3G23250	AT5G25260	0.10165198630262974
AT2G22540	AT4G23700	0.0015794402836021863
AT2G43000	AT5G25930	0.02548261425839105
AT3G12720	AT2G28660	0.0011756089902236742
AT2G21900	AT1G02530	0.0002054386043278937
AT3G23250	AT5G41750	0.010354338620275315
AT2G24430	AT2G42840	0.051585813317229584
