Gene_ID,GeneName,GSM744800,GSM744801,GSM744802,GSM744803,GSM744804,GSM744805,GSM744806,GSM744807,GSM744808,GSM744809,GSM744810,GSM744811
245065_at,AT2G39750,296.339,312.755,281.001,291.65,294.886,320.609,298.521,331.109,320.764,266.255,253.876,334.504
245066_at,AT2G39840,188.577,190.878,205.299,213.855,173.282,224.48,204.945,191.144,191.21,197.219,206.578,185.15
245067_at,AT2G39780,1352.72,1239.85,1412.64,936.434,1586.68,1438.36,1640.49,1552.75,1516.26,1566.12,1559.55,1722.71
245068_at,AT2G23260,1.53109,2.7741,0.836181,2.49677,2.78899,1.11057,3.07031,0.612483,1.41618,1.91967,10.4054,14.0738
245069_at,AT2G23250,16.3833,14.0976,12.5059,1.58929,3.88089,2.26628,6.99081,1.62248,3.72673,17.3222,6.93734,2.95492
245070_at,AT2G23240,1.11363,1.70399,2.13104,6.12784,27.4782,2.53375,2.26179,3.40723,3.51912,2.19948,1.53707,10.0581
245071_at,AT2G23230,8.77396,5.92763,8.23889,4.68469,11.9219,1.76367,24.9899,1.13216,8.05073,14.6795,17.6735,19.4261
245072_s_at,AT2G23190 /// AT2G23220,1.4843,2.78881,11.6627,1.28569,2.34088,2.06704,2.30571,12.1034,1.87072,3.48997,2.27011,1.12467
245073_at,AT2G23210,12.8868,1.06349,4.10916,8.89964,5.34623,10.8242,3.8512,12.973,1.4897,1.28525,9.35776,1.16807
245074_at,AT2G23200,44.6035,50.4453,40.5321,37.309,52.5628,26.7755,56.278,55.8689,67.5318,56.0443,49.6586,46.6025
245075_at,AT2G23180,26.0934,10.8165,15.6641,16.8752,12.1379,19.3436,13.5156,17.1758,5.31991,1.25252,1.53179,11.8072
245076_at,AT2G23170,262.431,251.46,172.026,96.9345,159.504,123.165,131.647,87.6762,96.0721,91.9128,103.713,76.5884
245077_at,AT2G23160,17.0827,4.28262,1.77755,7.51902,23.3739,2.51888,3.15473,6.12068,8.17509,12.2598,8.31921,4.09532
245078_at,AT2G23340,435.964,443.6,310.71,286.34,292.733,320.248,423.899,389.617,457.198,340.165,315.344,281.289
245079_at,,35.2253,30.5428,18.2452,34.3316,5.54909,29.9747,27.5832,28.4446,34.6299,40.1729,37.9837,19.163
245080_at,AT2G23300,109.743,93.0695,95.4403,130.739,115.962,95.486,74.0182,71.3238,86.7663,89.8252,99.6238,106.645
245081_at,,15.7379,12.2883,2.91387,11.968,3.34026,6.82289,15.9532,7.09407,3.0322,21.7793,18.9266,4.3669
245082_at,AT2G23270,53.4882,29.3057,59.7529,51.2965,15.722,11.4592,19.2142,24.8637,25.1566,16.2173,19.8544,32.6319
245083_at,AT2G23310,445.148,312.5,393.331,397.008,280.736,382.803,409.746,405.112,397.202,506.861,424.476,353.882
245084_at,AT2G23290,73.6174,63.3458,60.3924,81.0659,58.9957,60.9387,65.228,55.1419,72.6951,72.7441,60.5991,74.1972
245085_at,AT2G23350,2037.23,1563.7,2019.61,2164.19,2267.46,2197.1,2062.43,1988.29,1811.19,2178.71,2376.29,2370.7
245086_at,AT2G39820,12.2663,17.509,7.25839,9.3214,1.66783,0.991232,9.19757,1.97495,2.97189,9.19012,8.68257,3.87135
245087_at,AT2G39830,58.1491,71.3948,69.8386,78.8311,71.4493,67.8086,91.7969,59.7231,57.8507,69.6381,88.1899,60.3392
245088_at,AT2G39850,17.3422,4.65472,3.36202,8.01878,36.7487,17.5584,24.5043,24.9048,15.05,25.699,18.6975,14.2429
245089_at,AT2G45290,423.087,388.057,563.363,602.032,557.365,537.931,523.011,533.21,480.704,504.983,530.134,460.913
245090_at,AT2G40900,271.346,182.257,382.719,448.401,305.372,343.556,384.275,499.676,343.301,352.94,298.374,172.85
245091_at,AT2G40910,27.5239,3.25422,3.04813,24.6616,16.6125,5.79984,16.3062,6.04404,6.5101,16.5944,9.04891,12.7382
245092_at,AT2G40950,155.966,163.351,191.546,221.338,151.796,204.602,174.534,171.436,150.017,198.947,202.422,184.472
245093_at,AT2G40815 /// AT2G40820,97.9082,79.3175,49.0649,51.051,63.5053,78.9689,81.359,86.5331,74.6161,116.447,74.3956,54.5094
245094_at,AT2G40840,473.649,440.787,660.842,607.139,507.255,697.393,704.395,576.351,502.87,661.847,730.319,526.186
245095_at,AT2G40860,26.0868,27.6708,16.8962,32.4598,21.4111,23.6276,15.8164,17.9434,29.2144,42.5,25.1491,9.91693
245096_at,AT2G40880,152.912,156.651,240.627,161.611,108.362,171.036,119.22,139.059,194.245,98.7412,102.062,115.352
245097_at,AT2G40935,139.897,237.443,167.38,176.368,131.562,151.656,137.833,154.689,198.076,188.27,179.053,170.609
245098_at,AT2G40940,686.184,631.134,644.731,574.096,582.604,602.23,621.521,737.381,617.539,608.765,637.986,557.687
245099_at,AT2G40830,184.446,255.048,169.621,219.353,183.938,185.347,185.239,192.606,232.172,210.794,198.201,149.852
245100_at,AT2G40930,147.122,144.358,127.821,145.867,158.37,137.051,158.837,155.095,145.006,159.192,156.073,138.637
245101_at,AT2G40890,1787.92,1821.14,2043.33,2093.26,2679.17,2232.24,2113.78,2152.02,2012.81,1849.91,1903.94,2119.36
245102_at,,0.514202,2.37887,9.83687,2.0903,5.85622,7.69453,12.8687,1.27027,0.536573,1.22639,14.3746,1.2061
245103_at,AT2G41590,6.71126,11.7765,1.60821,9.72404,16.1984,5.11255,2.27606,2.228,5.45827,0.864938,0.415446,2.64929
245104_at,AT2G41600,186.404,194.274,212.433,294.409,175.851,221.183,201.968,187.337,198.067,221.266,181.855,185.527
245105_at,AT2G41610,38.0714,38.9807,21.8476,45.4561,35.4244,34.2087,30.5568,35.5786,34.8969,23.6569,28.3519,15.3297
245106_at,AT2G41650,413.806,431.281,466.937,634.755,505.818,550.776,478.884,411.073,398.763,506.856,499.848,421.845
245107_at,AT2G41690,45.6566,33.4199,61.3594,47.179,55.7669,47.9275,46.555,67.1084,64.5633,43.1371,35.245,36.3745
245108_at,AT2G41510,16.2055,44.0994,23.1068,14.6003,3.79959,12.2819,9.63445,22.17,11.7463,29.7687,5.58664,17.9432
245109_at,AT2G41520,101.695,117.038,108.063,114.387,109.567,124.13,123.48,89.4751,93.7364,123.126,87.1958,71.9123
245110_at,AT2G41550,14.0742,31.9248,16.6345,21.4598,17.8859,27.3346,23.5394,20.0635,29.8712,46.1337,23.1763,20.0623
245111_at,,1.3411,12.0648,7.92049,17.1068,1.71212,1.61582,0.761137,1.8545,2.18096,1.76824,4.05,11.6418
245112_at,AT2G41540,615.829,653.408,827.855,775.662,688.42,945.38,729.663,657.292,625.048,698.073,655.566,720.517
245113_at,AT2G41660,1296.27,1153.32,1687.82,1222.77,1777.03,1719.77,1476.41,1502.11,1371.87,1302.93,1195.03,1290.72
245114_at,AT2G41630,570.031,478.577,621.532,709.846,630.056,608.87,654.752,658.319,500.932,616.325,593.016,589.599
